name,value
"Assemblée nationale",137500.70
"Personnes désignées par l'Assemblée nationale",103037.60
"Affaires municipales et Occupation du territoire",1880213.40
"Agriculture, Pêcheries et Alimentation",876738.80
"Conseil du trésor et Administration gouvernementale",1593468.00
"Conseil exécutif",425180.50
"Culture et Communications",689799.70
"Développement durable, Environnement et Lutte contre les changements climatiques",152820.60
"Économie, Science et Innovation",916235.90
"Éducation et Enseignement supérieur",17881700.90
"Énergie et Ressources naturelles",72149.10
"Famille",2546024.00
"Finances",200566.30
"Forêts, Faune et Parcs",465383.20
"Immigration, Diversité et Inclusion",305522.20
"Justice",933554.20
"Relations internationales et Francophonie",106288.20
"Santé et Services sociaux",36763500.00
"Sécurité publique",1436762.20
"Tourisme",147721.10
"Transports, Mobilité durable et Électrification des transports",673080.60
"Travail, Emploi et Solidarité sociale",4284152.80
"Service de la dette",7776455.70
